date,y
GMW000000035985001,436338.5304910971
GMW000000035986001,433929.7196800552
GMW000000035987001,434114.0245785038
GMW000000035988001,433965.9291241813
GMW000000035989001,434249.2242568793
GMW000000035990001,433996.42588195676
GMW000000035991001,434001.22729778866
GMW000000035992001,434538.8193124592
GMW000000035993001,434534.1217066565
GMW000000035994001,434621.9233308837
GMW000000035995001,434510.32353200484
GMW000000035996001,434514.22571807256
GMW000000035997001,434659.1307377298
GMW000000035998001,434676.52956813265
GMW000000035999001,434566.02852123766
GMW000000036000001,434547.33127943927
GMW000000036001001,434443.32836729236
GMW000000036002001,433846.9283422268
GMW000000036003001,434688.3233491011
GMW000000036004001,434315.6226540134
GMW000000036005001,433871.920856187
GMW000000036006001,441713.7262675761
GMW000000036007001,441851.8264406464
GMW000000036008001,432757.61543356633
GMW000000036009001,432713.32132390473
GMW000000036010001,441742.32656476565
GMW000000036011001,441878.3257387975
GMW000000036012001,434128.7187743918
GMW000000036013001,434321.8212019992
GMW000000036014001,434386.9301876336
GMW000000036015001,434290.5237503595
GMW000000036016001,434476.9236681625
GMW000000036017001,433579.0209836436
GMW000000036018001,434342.5189842396
GMW000000036019001,433649.22349543136
GMW000000036020001,433606.9215538093
GMW000000036021001,433064.8262125332
GMW000000036022001,433442.42412440025
GMW000000036023001,432856.4245636841
GMW000000036024001,433097.8182236993
GMW000000036025001,433547.52456586785
GMW000000036026001,441095.9271353779
GMW000000036027001,438974.63012301014
GMW000000036028001,437593.4313075854
GMW000000036029001,437672.4336298345
GMW000000036030001,439001.6307623121
GMW000000036031001,438680.13034414913
GMW000000036032001,437877.3319791674
GMW000000036033001,436504.13645296404
GMW000000036034001,437693.8353363983
GMW000000036035001,437608.1352549604
GMW000000036036001,438905.92977624474
GMW000000036037001,438836.43222116056
GMW000000036038001,438832.7299411346
GMW000000036039001,438663.3305194173
GMW000000036040001,438960.73233948887
GMW000000036041001,437784.636072006
GMW000000036042001,437927.23694666795
GMW000000036043001,439136.9330180732
GMW000000036044001,439273.2334365129
GMW000000036045001,439125.5352995869
GMW000000036046001,439064.3371364805
GMW000000036047001,438845.5346970967
GMW000000036048001,438697.03599648736
GMW000000036049001,439119.8349686379
GMW000000036050001,438513.63825327926
GMW000000036051001,438590.23510180175
GMW000000036052001,439194.6349268043
GMW000000036053001,438580.13678065466
GMW000000036054001,439214.73515453824
GMW000000036055001,439762.8314957726
GMW000000036056001,439210.63686192676
GMW000000036057001,440062.03026651853
GMW000000036058001,438963.63642170053
GMW000000036059001,438525.438780319
GMW000000036060001,439673.4340127098
GMW000000036061001,438744.93698003195
GMW000000036071001,437281.45060571673
GMW000000036072001,433461.34806401265
GMW000000036073001,433391.0503079507
GMW000000036074001,433627.6488000822
GMW000000036075001,433611.04880937276
GMW000000036076001,433646.55212410557
GMW000000036077001,433578.85150811455
GMW000000036078001,433683.3528419408
GMW000000036079001,433459.3533349466
GMW000000036080001,433608.8499381825
GMW000000036081001,434393.55470244505
GMW000000036082001,434239.9502833904
GMW000000036083001,438705.941899433
GMW000000036084001,432232.1427538793
GMW000000036085001,432157.6405472121
GMW000000036086001,438604.1423816238
GMW000000036087001,438765.74158335314
GMW000000036088001,432579.2446594368
GMW000000036089001,432127.4444472124
GMW000000036090001,432266.2455761091
GMW000000036091001,434252.65252904675
GMW000000036092001,435876.95357381005
GMW000000036093001,435625.85542634927
GMW000000036094001,435602.2554091725
GMW000000036095001,435807.5547609483
GMW000000036096001,435716.95446079987
GMW000000036097001,436606.9490289275
GMW000000036098001,436717.4487615992
GMW000000036099001,435475.75122115127
GMW000000036100001,436639.349594461
