date,x
GMW000000035833001,92330.04385906392
GMW000000035834001,92483.57368764683
GMW000000035835001,92910.62468008467
GMW000000035836001,93018.3776671963
GMW000000035837001,93481.6303881989
GMW000000035838001,93829.64997610531
GMW000000035839001,93853.19929138882
GMW000000035840001,97603.29042004951
GMW000000035841001,97809.13203806306
GMW000000035842001,97348.4479546573
GMW000000035843001,91676.26703452041
GMW000000035844001,88499.6564854388
GMW000000035845001,95157.37260097357
GMW000000035846001,88854.22781482512
GMW000000035847001,95137.93188405316
GMW000000035848001,83288.32141190597
GMW000000035849001,95074.75086777925
GMW000000035850001,95089.292315075
GMW000000035851001,86436.11182374528
GMW000000035852001,95063.61134232342
GMW000000035853001,84289.80357197343
GMW000000035854001,95257.553699815
GMW000000035855001,74943.59623627074
GMW000000035856001,95336.94511461174
GMW000000035857001,83792.05014246494
GMW000000035858001,95897.73649443415
GMW000000035859001,83183.8369033113
GMW000000035860001,95036.0045442464
GMW000000035861001,95040.50357669478
GMW000000035862001,94299.18403937446
GMW000000035863001,94185.85344046092
GMW000000035864001,94391.15410870645
GMW000000035865001,94604.60492666997
GMW000000035866001,94705.04419722143
GMW000000035867001,94692.74742924486
GMW000000035868001,92100.00987695961
GMW000000035869001,92848.88269701591
GMW000000035870001,92972.47288909224
GMW000000035871001,92675.60072349705
GMW000000035872001,92631.79998995573
GMW000000035873001,92464.51044139202
GMW000000035874001,92347.50012079586
GMW000000035875001,92264.43779668942
GMW000000035876001,92062.1477780673
GMW000000035877001,92757.60022243563
GMW000000035878001,92254.68697221972
GMW000000035879001,93400.66930139411
GMW000000035880001,93442.25974161612
GMW000000035881001,92511.44600413421
GMW000000035882001,92051.66018869521
GMW000000035883001,93092.6175358067
GMW000000035884001,92330.01105749623
GMW000000035885001,92601.21196095049
GMW000000035886001,92221.34012600538
GMW000000035887001,92200.03082319928
GMW000000035888001,92776.16199259914
GMW000000035889001,93510.95030895867
GMW000000035890001,93024.79788274184
GMW000000035891001,93453.70029147153
GMW000000035892001,93415.02951422878
GMW000000035893001,93531.81149590755
GMW000000035894001,93302.50060570313
GMW000000035895001,93933.6734665749
GMW000000035896001,93834.43378002764
GMW000000035897001,93085.04881718552
GMW000000035898001,93012.40861141963
GMW000000035899001,93042.27912087605
GMW000000035900001,93330.31098753048
GMW000000035901001,93017.66953547386
GMW000000035902001,93125.60836242176
GMW000000035903001,93233.25689423873
GMW000000035904001,93970.14768494705
GMW000000035905001,93443.57785598384
GMW000000035906001,93982.61608438758
GMW000000035907001,93763.15474289472
GMW000000035908001,93856.18534592251
GMW000000035909001,93871.91428054657
GMW000000035910001,93947.0748231778
GMW000000035911001,93272.27646369027
GMW000000035912001,93447.75942554662
GMW000000035913001,93358.69998426345
GMW000000035914001,93907.23118036056
GMW000000035915001,93878.65036700267
GMW000000035916001,93194.82253477172
GMW000000035917001,93588.64046671291
GMW000000035918001,93728.57849398672
GMW000000035919001,93494.25415634611
GMW000000035920001,93822.52561180333
GMW000000035921001,93302.40355232533
GMW000000035922001,93489.85211311784
GMW000000035923001,93739.1256807139
GMW000000035924001,93596.1923219949
GMW000000035925001,93240.90815569357
GMW000000035926001,93538.01238823615
GMW000000035927001,93583.21196783608
GMW000000035928001,93689.60340057325
GMW000000035929001,93864.97877051661
GMW000000035930001,93986.63122754447
GMW000000035931001,93047.21375372744
GMW000000035932001,94176.47017456303
GMW000000035933001,94284.16004442325
GMW000000035934001,94223.54875662309
GMW000000035935001,94444.56176193316
GMW000000035936001,94479.20154155113
GMW000000035937001,94341.1599731136
GMW000000035938001,94043.44704430409
GMW000000035939001,94094.8513179991
GMW000000035940001,94075.31019073253
GMW000000035941001,94571.66351707281
GMW000000035942001,94544.75272086382
GMW000000035943001,94184.68009541297
GMW000000035944001,94644.36571597477
GMW000000035945001,94051.90300193534
GMW000000035946001,94444.16505018697
GMW000000035947001,94551.96604190563
GMW000000035948001,94801.646372635
GMW000000035949001,94730.3863133247
GMW000000035950001,94754.55603552487
GMW000000035951001,94914.78638362708
GMW000000035952001,94921.68659734161
GMW000000035953001,94829.2565231706
GMW000000035954001,94819.35605091756
GMW000000035955001,94537.64541582271
GMW000000035956001,94305.68286388417
GMW000000035957001,94731.63488733678
GMW000000035958001,94585.35274236565
GMW000000035959001,94224.19272264838
GMW000000035960001,94647.83375774752
GMW000000035961001,94945.23885508627
GMW000000035962001,94378.2042420491
GMW000000035963001,94266.25384079976
GMW000000035964001,94782.43602476665
GMW000000035965001,94829.80816891404
GMW000000035966001,94418.7811957814
GMW000000035967001,94683.7734207979
GMW000000035968001,94324.10114046281
GMW000000035969001,94200.76076305266
GMW000000035970001,94740.30400896502
GMW000000035971001,94534.63254012744
GMW000000035972001,94447.14174804825
GMW000000035973001,94116.56146023324
GMW000000035974001,94015.39052623621
GMW000000035975001,94981.78831974426
GMW000000035976001,94653.24636207863
GMW000000035977001,94896.08647307765
GMW000000035978001,94949.82735125038
GMW000000035979001,94515.89570956829
GMW000000035980001,94816.71936022176
GMW000000035981001,94161.02988934572
GMW000000035982001,94388.23152898092
GMW000000035983001,94014.19640503699
GMW000000035984001,94037.20183009873
GMW000000035985001,94121.39742625473
GMW000000035986001,94933.45104357741
GMW000000035987001,94528.82801135923
GMW000000035988001,94102.42582064871
GMW000000035989001,94566.7076878402
GMW000000035990001,94404.00738989082
GMW000000035991001,94260.99631380392
GMW000000035992001,94991.459779517
GMW000000035993001,94859.02870488336
GMW000000035994001,94713.12718487556
GMW000000035995001,94673.847217764
GMW000000035996001,94446.23589222322
GMW000000035997001,94103.99335830909
GMW000000035998001,94201.24385470434
GMW000000035999001,94200.95427611761
GMW000000036000001,94010.79271509431
GMW000000036001001,94200.83455497754
GMW000000036002001,94154.19599093866
GMW000000036003001,94715.756915758
