date,unit
GMW000000035923001,m NAP
GMW000000035924001,m NAP
GMW000000035925001,m NAP
GMW000000035926001,m NAP
GMW000000035927001,m NAP
GMW000000035928001,m NAP
GMW000000035929001,m NAP
GMW000000035930001,m NAP
GMW000000035931001,m NAP
GMW000000035932001,m NAP
GMW000000035933001,m NAP
GMW000000035934001,m NAP
GMW000000035935001,m NAP
GMW000000035936001,m NAP
GMW000000035937001,m NAP
GMW000000035938001,m NAP
GMW000000035939001,m NAP
GMW000000035940001,m NAP
GMW000000035941001,m NAP
GMW000000035942001,m NAP
GMW000000035943001,m NAP
GMW000000035944001,m NAP
GMW000000035945001,m NAP
GMW000000035946001,m NAP
GMW000000035947001,m NAP
GMW000000035948001,m NAP
GMW000000035949001,m NAP
GMW000000035950001,m NAP
GMW000000035951001,m NAP
GMW000000035952001,m NAP
GMW000000035953001,m NAP
GMW000000035954001,m NAP
GMW000000035955001,m NAP
GMW000000035956001,m NAP
GMW000000035957001,m NAP
GMW000000035958001,m NAP
GMW000000035959001,m NAP
GMW000000035960001,m NAP
GMW000000035961001,m NAP
GMW000000035962001,m NAP
GMW000000035963001,m NAP
GMW000000035964001,m NAP
GMW000000035965001,m NAP
GMW000000035966001,m NAP
GMW000000035967001,m NAP
GMW000000035968001,m NAP
GMW000000035969001,m NAP
GMW000000035970001,m NAP
GMW000000035971001,m NAP
GMW000000035972001,m NAP
GMW000000035973001,m NAP
GMW000000035974001,m NAP
GMW000000035975001,m NAP
GMW000000035976001,m NAP
GMW000000035977001,m NAP
GMW000000035978001,m NAP
GMW000000035979001,m NAP
GMW000000035980001,m NAP
GMW000000035981001,m NAP
GMW000000035982001,m NAP
GMW000000035983001,m NAP
GMW000000035984001,m NAP
GMW000000035985001,m NAP
GMW000000035986001,m NAP
GMW000000035987001,m NAP
GMW000000035988001,m NAP
GMW000000035989001,m NAP
GMW000000035990001,m NAP
GMW000000035991001,m NAP
GMW000000035992001,m NAP
GMW000000035993001,m NAP
GMW000000035994001,m NAP
GMW000000035995001,m NAP
