date,tube_nr
GMW000000036679001,1
GMW000000036680001,1
GMW000000036681001,1
GMW000000036682001,1
GMW000000036683001,1
GMW000000036684001,1
GMW000000036685001,1
GMW000000036686001,1
GMW000000036687001,1
GMW000000036688001,1
GMW000000036689001,1
GMW000000036690001,1
GMW000000036691001,1
GMW000000036692001,1
GMW000000036693001,1
GMW000000036694001,1
GMW000000036695001,1
GMW000000036696001,1
GMW000000036697001,1
GMW000000036698001,1
GMW000000036699001,1
GMW000000036700001,1
GMW000000036701001,1
GMW000000036702001,1
GMW000000036703001,1
GMW000000036704001,1
GMW000000036705001,1
GMW000000036706001,1
GMW000000036707001,1
GMW000000036708001,1
GMW000000036709001,1
GMW000000036710001,1
GMW000000036711001,1
GMW000000036712001,1
GMW000000036713001,1
GMW000000036714001,1
GMW000000036715001,1
GMW000000036716001,1
GMW000000036717001,1
GMW000000036718001,1
GMW000000036719001,1
GMW000000036720001,1
GMW000000036721001,1
GMW000000036722001,1
GMW000000036723001,1
GMW000000036724001,1
GMW000000036725001,1
GMW000000036726001,1
GMW000000036727001,1
GMW000000036728001,1
GMW000000036729001,1
GMW000000036730001,1
GMW000000036731001,1
GMW000000036732001,1
GMW000000036733001,1
GMW000000036734001,1
GMW000000036735001,1
GMW000000036736001,1
GMW000000036737001,1
GMW000000036738001,1
GMW000000036739001,1
GMW000000036740001,1
GMW000000036741001,1
GMW000000036742001,1
GMW000000036743001,1
GMW000000036744001,1
GMW000000036745001,1
GMW000000036746001,1
GMW000000036747001,1
GMW000000036748001,1
GMW000000036749001,1
GMW000000036750001,1
GMW000000036751001,1
GMW000000036752001,1
GMW000000036753001,1
GMW000000036754001,1
GMW000000036755001,1
GMW000000036756001,1
GMW000000036757001,1
GMW000000036758001,1
GMW000000036759001,1
GMW000000036760001,1
GMW000000036761001,1
GMW000000036762001,1
GMW000000036763001,1
GMW000000036764001,1
GMW000000036765001,1
GMW000000036766001,1
GMW000000036767001,1
GMW000000036768001,1
GMW000000036769001,1
GMW000000036770001,1
GMW000000036771001,1
GMW000000036772001,1
GMW000000036773001,1
GMW000000036774001,1
GMW000000036775001,1
GMW000000036776001,1
GMW000000036777001,1
GMW000000036778001,1
GMW000000036779001,1
GMW000000036780001,1
GMW000000036781001,1
GMW000000036782001,1
GMW000000036783001,1
GMW000000036784001,1
GMW000000036785001,1
GMW000000036786001,1
GMW000000036787001,1
GMW000000036788001,1
GMW000000036789001,1
GMW000000036790001,1
GMW000000036791001,1
GMW000000036792001,1
GMW000000036793001,1
GMW000000036794001,1
GMW000000036795001,1
GMW000000036796001,1
GMW000000036797001,1
GMW000000036798001,1
GMW000000036799001,1
GMW000000036800001,1
GMW000000036801001,1
GMW000000036802001,1
GMW000000036803001,1
GMW000000036804001,1
GMW000000036805001,1
GMW000000036806001,1
GMW000000036807001,1
GMW000000036808001,1
GMW000000036809001,1
GMW000000036810001,1
GMW000000036811001,1
GMW000000036812001,1
GMW000000036813001,1
GMW000000036814001,1
GMW000000036815001,1
GMW000000036816001,1
GMW000000036817001,1
GMW000000036818001,1
GMW000000036819001,1
GMW000000036820001,1
GMW000000036821001,1
GMW000000036822001,1
GMW000000036823001,1
GMW000000036824001,1
GMW000000036825001,1
GMW000000036826001,1
GMW000000036827001,1
GMW000000036828001,1
GMW000000036829001,1
GMW000000036830001,1
GMW000000036831001,1
GMW000000036832001,1
GMW000000036833001,1
GMW000000036834001,1
GMW000000036835001,1
GMW000000036836001,1
GMW000000036837001,1
GMW000000036838001,1
GMW000000036839001,1
GMW000000036842001,1
GMW000000036843001,1
GMW000000036844001,1
GMW000000036845001,1
GMW000000036846001,1
GMW000000036847001,1
GMW000000036848001,1
GMW000000036849001,1
GMW000000036850001,1
GMW000000036851001,1
GMW000000036852001,1
GMW000000036853001,1
GMW000000036854001,1
GMW000000036855001,1
GMW000000036856001,1
GMW000000036857001,1
GMW000000036858001,1
