date,source
GMW000000035963001,lizard
GMW000000035964001,lizard
GMW000000035965001,lizard
GMW000000035966001,lizard
GMW000000035967001,lizard
GMW000000035968001,lizard
GMW000000035969001,lizard
GMW000000035970001,lizard
GMW000000035971001,lizard
GMW000000035972001,lizard
GMW000000035973001,lizard
GMW000000035974001,lizard
GMW000000035975001,lizard
GMW000000035976001,lizard
GMW000000035977001,lizard
GMW000000035978001,lizard
GMW000000035979001,lizard
GMW000000035980001,lizard
GMW000000035981001,lizard
GMW000000035982001,lizard
GMW000000035983001,lizard
GMW000000035984001,lizard
GMW000000035985001,lizard
GMW000000035986001,lizard
GMW000000035987001,lizard
GMW000000035988001,lizard
GMW000000035989001,lizard
GMW000000035990001,lizard
GMW000000035991001,lizard
GMW000000035992001,lizard
GMW000000035993001,lizard
GMW000000035994001,lizard
GMW000000035995001,lizard
GMW000000035996001,lizard
GMW000000035997001,lizard
GMW000000035998001,lizard
GMW000000035999001,lizard
GMW000000036000001,lizard
GMW000000036001001,lizard
GMW000000036002001,lizard
GMW000000036003001,lizard
GMW000000036004001,lizard
GMW000000036005001,lizard
GMW000000036006001,lizard
GMW000000036007001,lizard
GMW000000036008001,lizard
GMW000000036009001,lizard
GMW000000036010001,lizard
GMW000000036011001,lizard
GMW000000036012001,lizard
GMW000000036013001,lizard
GMW000000036014001,lizard
GMW000000036015001,lizard
GMW000000036016001,lizard
GMW000000036017001,lizard
GMW000000036018001,lizard
GMW000000036019001,lizard
GMW000000036020001,lizard
GMW000000036021001,lizard
GMW000000036022001,lizard
GMW000000036023001,lizard
GMW000000036024001,lizard
GMW000000036025001,lizard
GMW000000036026001,lizard
GMW000000036027001,lizard
GMW000000036028001,lizard
GMW000000036029001,lizard
GMW000000036030001,lizard
GMW000000036031001,lizard
GMW000000036032001,lizard
GMW000000036033001,lizard
GMW000000036034001,lizard
GMW000000036035001,lizard
GMW000000036036001,lizard
GMW000000036037001,lizard
GMW000000036038001,lizard
GMW000000036039001,lizard
GMW000000036040001,lizard
GMW000000036041001,lizard
GMW000000036042001,lizard
GMW000000036043001,lizard
GMW000000036044001,lizard
GMW000000036045001,lizard
GMW000000036046001,lizard
GMW000000036047001,lizard
GMW000000036048001,lizard
GMW000000036049001,lizard
GMW000000036050001,lizard
GMW000000036051001,lizard
GMW000000036052001,lizard
GMW000000036053001,lizard
GMW000000036054001,lizard
GMW000000036055001,lizard
GMW000000036056001,lizard
GMW000000036057001,lizard
GMW000000036058001,lizard
GMW000000036059001,lizard
GMW000000036060001,lizard
GMW000000036061001,lizard
GMW000000036071001,lizard
GMW000000036072001,lizard
GMW000000036073001,lizard
GMW000000036074001,lizard
GMW000000036075001,lizard
GMW000000036076001,lizard
GMW000000036077001,lizard
GMW000000036078001,lizard
GMW000000036079001,lizard
GMW000000036080001,lizard
GMW000000036081001,lizard
GMW000000036082001,lizard
GMW000000036083001,lizard
GMW000000036084001,lizard
GMW000000036085001,lizard
GMW000000036086001,lizard
GMW000000036087001,lizard
GMW000000036088001,lizard
GMW000000036089001,lizard
GMW000000036090001,lizard
